gene study_attention
PLEKHG4 69
EI24 14
ABLIM1 55
TNNT3 8
SOX11 2
C16orf54 9
KIF15 20
GPR161 22
DCLK1 16
PABPN1 39
PAGE5 1
PACC1 90
ING3 37
SH3BP5 20
TAF11 10
C1QTNF1 9
IRS4 87
ASPSCR1 32
MTX1 28
UCP2 12
EDAR 6
RAB3IL1 34
RIC1 3
IL1A 6
CALCA 5
HINT3 5
GSTM2 3
PGBD1 27
KCTD3 31
CDK16 38
AGO1 180
CRLS1 1
SBNO2 1
CHI3L1 8
ASS1 23
ATG4D 3
RCE1 3
FRY 4
C1orf189 2
WNT10B 6
ZNF200 2
ABCB1 7
GPR146 2
RBM15 26
ZNF580 20
ASNS 19
SPRR2D 4
GSTO1 10
BPHL 8
SCFD1 34
PLEKHF1 5
SNAI2 5
SH2B3 5
PTPMT1 116
PLA2G4E 3
KIFBP 42
HERC6 2
FERD3L 11
HIBADH 38
AASDH 3
CCDC24 33
PURA 21
NLRP10 1
MOSPD2 20
MRPS25 38
C18orf32 6
RUBCN 19
MS4A5 1
KRTAP5-3 39
SCN2A 3
POP7 24
TOMM20L 6
MYF5 25
CA12 11
RNF11 68
CHD5 10
EPPIN 2
FAM120AOS 1
CACNG1 16
THAP9 3
SEPTIN1 32
CCL17 8
KIF23 35
GSTA3 2
SMAGP 36
PMS1 17
PHLDB2 25
SRD5A1 1
RPF2 55
LMOD3 1
OSGIN1 44
TMEM95 2
TXNDC12 21
CADPS2 11
NDUFA13 73
PLXNA4 3
DPY19L3 8
ANXA1 82
LTBP4 23
GCNT2 9
FOXN2 10
SHE 4
NUP88 29
ARL4C 21
ZCCHC3 20
MLEC 17
MCIDAS 7
CCL16 2
KANSL3 12
GPATCH8 28
TEX14 4
PCOLCE2 8
GLIS3 9
ST6GALNAC6 4
RAB43 3
MTMR10 7
RLBP1 1
TMEM126A 15
GAB1 17
SH3RF1 12
UGT1A10 20
SLC35A4 25
SF3B5 19
SLC6A15 39
DKKL1 75
SPX 1
CFAP58 6
PRKG2 3
GGTLC2 1
ITGAE 2
TMEM63B 85
FRAT1 5
CCZ1 9
MRPL21 33
ACTBL2 158
PTGES2 20
TMEM184C 1
ZNF415 3
SYCE3 46
SLC35E2A 1
DENND3 3
CCDC179 2
S100A9 43
CPLANE2 4
DCDC2 27
MBD1 18
CAPRIN2 5
GNAZ 38
CDK18 83
CLEC16A 3
HSP90AA1 275
IL16 80
CDSN 14
CHST3 5
PHF2 2
SPTBN4 16
CD300LD 1
C21orf91 7
CERKL 9
