bait_uniprot	bait_symbol	bait_usage
O43187	IRAK2	6
O43189	PHF1	7
O43196	MSH5	2
O43236	SEPTIN4	4
O43240	KLK10	2
O43242	PSMD3	3
O43247	TEX33	3
O43251	RBFOX2	6
O432510	NA	2
O43252	PAPSS1	2
O43255	SIAH2	1
O43257	ZNHIT1	6
O43261	NA	1
O43264	ZW10	4
O43278	SPINT1	2
O43280	TREH	1
O43281	EFS	2
O43283	MAP3K13	3
O43290	SART1	3
O43291	SPINT2	1
O43292	GPAA1	4
O43293	DAPK3	8
O43294	TGFB1I1	2
O43295	SRGAP3	3
O43296	ZNF264	2
O43298	ZBTB43	2
O43299	AP5Z1	1
O43300	LRRTM2	1
O43301	HSPA12A	1
O43303	CCP110	9
